	pre	rec	f1	acc	auc
0	0.5971731448763251	0.6401515151515151	0.6179159049360146	0.5627615062761506	0.5671728971962617
1	0.7333333333333333	0.7916666666666666	0.761384335154827	0.7259414225941423	0.7893479184367036
2	0.8540925266903915	0.9090909090909091	0.8807339449541285	0.8640167364016736	0.9370751911639762
3	0.9045801526717557	0.8977272727272727	0.9011406844106464	0.891213389121339	0.9629177286887568
4	0.9328358208955224	0.946969696969697	0.9398496240601504	0.9330543933054394	0.9587227414330218
5	0.981203007518797	0.9886363636363636	0.9849056603773584	0.9832635983263598	0.9991326819597848
6	1.0	0.9924242424242424	0.9961977186311787	0.99581589958159	0.9998052959501558
7	1.0	0.9924242424242424	0.9961977186311787	0.99581589958159	0.9998229963183234
8	1.0	0.9962121212121212	0.9981024667931689	0.997907949790795	0.9999114981591618
9	1.0	0.9962121212121212	0.9981024667931689	0.997907949790795	0.9999291985273293
10	1.0	0.9962121212121212	0.9981024667931689	0.997907949790795	0.9999291985273293
11	1.0	0.9962121212121212	0.9981024667931689	0.997907949790795	0.9999291985273293
12	1.0	0.9962121212121212	0.9981024667931689	0.997907949790795	0.999946898895497
13	1.0	0.9962121212121212	0.9981024667931689	0.997907949790795	0.9999291985273293
14	1.0	0.9962121212121212	0.9981024667931689	0.997907949790795	0.9999291985273293
15	1.0	0.9962121212121212	0.9981024667931689	0.997907949790795	0.9999645992636647
16	1.0	0.9962121212121212	0.9981024667931689	0.997907949790795	0.9999645992636647
17	1.0	0.9962121212121212	0.9981024667931689	0.997907949790795	0.9999822996318324
18	1.0	0.9962121212121212	0.9981024667931689	0.997907949790795	0.999946898895497
